rank	species	common_name	order	primate_group	color_group	dist_to_human	color_label
1	Homo_sapiens	Human	PRIMATES	GREAT_APES	GREAT_APES	0	Great Apes
2	Pan_paniscus	Bonobo	PRIMATES	GREAT_APES	GREAT_APES	0.01215039	Great Apes
3	Pan_troglodytes	Chimpanzee	PRIMATES	GREAT_APES	GREAT_APES	0.0120009	Great Apes
4	Gorilla_gorilla	Western Lowland Gorilla	PRIMATES	GREAT_APES	GREAT_APES	0.0156446	Great Apes
5	Pongo_abelii	Sumatran Orangutan	PRIMATES	GREAT_APES	GREAT_APES	0.03226714	Great Apes
6	Nomascus_leucogenys	Northern White cheeked Gibbon	PRIMATES	GIBBONS	GIBBONS	0.03868789	Gibbons
7	Macaca_fascicularis	Crab eating Macaque	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.064162194	Old World Monkeys
8	Macaca_mulatta	Rhesus Macaque	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.065221024	Old World Monkeys
9	Macaca_nemestrina	Pig tailed Macaque	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06553685	Old World Monkeys
10	Papio_anubis	Olive Baboon	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06544282	Old World Monkeys
11	Mandrillus_leucophaeus	Drill	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.0655577	Old World Monkeys
12	Cercocebus_atys	Sooty Mangabey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06670684	Old World Monkeys
13	Erythrocebus_patas	Patas Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06572519	Old World Monkeys
14	Chlorocebus_sabaeus	Green Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06591018	Old World Monkeys
15	Cercopithecus_neglectus	De Brazzas Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.0657473	Old World Monkeys
16	Rhinopithecus_roxellana	Golden Snub nosed Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.066078306	Old World Monkeys
17	Rhinopithecus_bieti	Black Snub nosed Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.066223466	Old World Monkeys
18	Pygathrix_nemaeus	Red shanked Douc	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.066268676	Old World Monkeys
19	Nasalis_larvatus	Proboscis Monkey	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06560925	Old World Monkeys
20	Semnopithecus_entellus	Northern Plains Gray Langur	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06598764	Old World Monkeys
21	Colobus_angolensis	Angolan Colobus	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06662409	Old World Monkeys
22	Piliocolobus_tephrosceles	Ugandan Red Colobus	PRIMATES	OLD_WORLD_MONKEYS	OLD_WORLD_MONKEYS	0.06669549	Old World Monkeys
23	Pithecia_pithecia	White faced Saki	PRIMATES	NEW_WORLD_MONKEYS	NEW_WORLD_MONKEYS	0.10670662	New World Monkeys
24	Callicebus_donacophilus	White eared Titi	PRIMATES	NEW_WORLD_MONKEYS	NEW_WORLD_MONKEYS	0.11025662	New World Monkeys
25	Ateles_geoffroyi	Geoffroys Spider Monkey	PRIMATES	NEW_WORLD_MONKEYS	NEW_WORLD_MONKEYS	0.10709547	New World Monkeys
